epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,1221.96,0.58362,0.42444,0.99784,0.98533,0.9852,0.98841,0.92544,0.4123,0.22518,0.96736,0.0085546,0.0085546,0.0085546
75,1238.48,0.57664,0.41182,0.99138,0.98291,0.98071,0.9888,0.92693,0.40739,0.22581,0.97091,0.0085348,0.0085348,0.0085348
76,1254.89,0.57609,0.41343,0.99028,0.98327,0.98543,0.98786,0.92908,0.40177,0.22087,0.96469,0.008515,0.008515,0.008515
77,1271.45,0.57714,0.41268,0.99069,0.98376,0.98546,0.98918,0.93121,0.40141,0.21986,0.96523,0.0084952,0.0084952,0.0084952
78,1287.67,0.57441,0.41171,0.99318,0.98388,0.98411,0.98923,0.93172,0.39882,0.21673,0.96747,0.0084754,0.0084754,0.0084754
79,1304.52,0.57085,0.40925,0.99082,0.98732,0.98464,0.99046,0.93529,0.39122,0.2162,0.96424,0.0084556,0.0084556,0.0084556
80,1321.04,0.57406,0.41335,0.9918,0.98387,0.9825,0.99043,0.93823,0.38695,0.21479,0.96143,0.0084358,0.0084358,0.0084358
81,1337.52,0.57038,0.41147,0.98909,0.98434,0.98393,0.99125,0.93308,0.39466,0.21446,0.96694,0.008416,0.008416,0.008416
82,1353.05,0.57247,0.41402,0.99196,0.98715,0.98123,0.98952,0.93399,0.38856,0.21184,0.96333,0.0083962,0.0083962,0.0083962
83,1369.53,0.56803,0.40766,0.98599,0.98641,0.98334,0.99007,0.93148,0.38908,0.21473,0.96506,0.0083764,0.0083764,0.0083764
84,1386.03,0.56859,0.40723,0.98673,0.98827,0.98063,0.99027,0.93425,0.38904,0.2129,0.96098,0.0083566,0.0083566,0.0083566
85,1402.41,0.56486,0.41008,0.98719,0.98516,0.9836,0.98991,0.9349,0.38862,0.21477,0.96296,0.0083368,0.0083368,0.0083368
86,1418.93,0.56227,0.39939,0.98138,0.98329,0.98317,0.98975,0.93746,0.38164,0.21195,0.95932,0.008317,0.008317,0.008317
87,1436.04,0.56229,0.40441,0.98668,0.98576,0.98273,0.99044,0.93592,0.38256,0.21536,0.96144,0.0082972,0.0082972,0.0082972
88,1452.58,0.55775,0.40063,0.98243,0.98374,0.98192,0.98945,0.9362,0.38199,0.21161,0.96009,0.0082774,0.0082774,0.0082774
89,1469.04,0.55516,0.39804,0.98163,0.98538,0.98245,0.99002,0.93705,0.38043,0.20863,0.96008,0.0082576,0.0082576,0.0082576
90,1485.8,0.55417,0.39921,0.98181,0.98597,0.98247,0.98972,0.93989,0.37819,0.20827,0.95855,0.0082378,0.0082378,0.0082378
91,1502.72,0.558,0.3985,0.98441,0.98487,0.984,0.98926,0.93816,0.37392,0.20502,0.95653,0.008218,0.008218,0.008218
92,1519.61,0.55195,0.39298,0.97907,0.98498,0.98472,0.98904,0.93883,0.37538,0.20473,0.95668,0.0081982,0.0081982,0.0081982
93,1535.65,0.54811,0.39473,0.97868,0.98437,0.98257,0.98972,0.94181,0.37403,0.20445,0.95321,0.0081784,0.0081784,0.0081784
94,1551.84,0.5523,0.39682,0.9809,0.98346,0.98022,0.99043,0.94614,0.37096,0.20476,0.95374,0.0081586,0.0081586,0.0081586
95,1568.12,0.54623,0.38898,0.97385,0.98359,0.98104,0.99115,0.9447,0.36614,0.20625,0.95045,0.0081388,0.0081388,0.0081388
96,1584.61,0.55174,0.39414,0.98098,0.98553,0.9831,0.99002,0.94313,0.36659,0.20386,0.94868,0.008119,0.008119,0.008119
97,1601.14,0.5472,0.3915,0.97673,0.98647,0.98345,0.99026,0.94364,0.3629,0.20416,0.94963,0.0080992,0.0080992,0.0080992
98,1617.8,0.54441,0.38999,0.97503,0.98742,0.98449,0.99009,0.94206,0.36015,0.20262,0.94879,0.0080794,0.0080794,0.0080794
99,1634.81,0.54258,0.38789,0.97298,0.98366,0.98475,0.98933,0.94042,0.3631,0.20428,0.95066,0.0080596,0.0080596,0.0080596
100,1651.28,0.54319,0.38895,0.97681,0.98547,0.98614,0.98963,0.94331,0.36166,0.20219,0.95044,0.0080398,0.0080398,0.0080398
101,1667.66,0.54151,0.38927,0.97481,0.98576,0.9856,0.98977,0.94152,0.3606,0.20237,0.94998,0.00802,0.00802,0.00802
102,1684.05,0.54293,0.38643,0.9731,0.98541,0.9866,0.99054,0.94471,0.36148,0.20085,0.94626,0.0080002,0.0080002,0.0080002
103,1700.41,0.53929,0.38464,0.96902,0.98583,0.98527,0.99031,0.9427,0.36034,0.19973,0.94533,0.0079804,0.0079804,0.0079804
104,1717.09,0.53697,0.38148,0.9725,0.98671,0.98369,0.99022,0.94404,0.36016,0.20081,0.94781,0.0079606,0.0079606,0.0079606
